bathrooms,bedrooms,num_beds,can_instant_book,is_fully_refundable,is_superhost,is_new_listing,room_type_category,person_capacity,lat,lng,price,url,listing_key,price_in_usd
1.0,2.0,7,True,True,False,False,entire_home,7,21.18428,-86.81441,24,https://www.airbnb.com/rooms/311921,311921,18.045112781954888
1.0,2.0,2,True,True,False,True,entire_home,4,21.13651,-86.84249,28,https://www.airbnb.com/rooms/35087183,35087183,21.052631578947366
1.0,2.0,2,True,True,False,False,private_room,5,21.19634,-86.87063,24,https://www.airbnb.com/rooms/30400482,30400482,18.045112781954888
1.0,1.0,1,True,True,False,False,private_room,2,21.16329,-86.83182,21,https://www.airbnb.com/rooms/25553528,25553528,15.789473684210526
1.0,1.0,1,True,True,True,False,entire_home,2,21.14874,-86.84444,21,https://www.airbnb.com/rooms/25911782,25911782,15.789473684210526
1.0,1.0,1,True,True,False,False,private_room,2,21.14856,-86.82686,26,https://www.airbnb.com/rooms/34307418,34307418,19.548872180451127
1.0,1.0,2,True,True,True,False,private_room,4,21.10886,-86.88359,28,https://www.airbnb.com/rooms/30469494,30469494,21.052631578947366
1.0,1.0,1,False,True,True,False,entire_home,2,21.14894,-86.82866999999997,28,https://www.airbnb.com/rooms/23998779,23998779,21.052631578947366
1.5,1.0,0,True,True,False,False,entire_home,6,21.163818,-86.828568,22,https://www.airbnb.com/rooms/28665746,28665746,16.541353383458645
1.0,1.0,1,True,True,False,False,entire_home,2,21.17703,-86.83621,29,https://www.airbnb.com/rooms/25856722,25856722,21.804511278195488
1.0,1.0,1,False,True,True,False,private_room,2,21.15332,-86.82539,28,https://www.airbnb.com/rooms/9486028,9486028,21.052631578947366
1.0,1.0,1,False,True,True,False,entire_home,2,21.11393,-86.8768,25,https://www.airbnb.com/rooms/15376318,15376318,18.796992481203006
1.0,1.0,1,True,True,False,False,entire_home,2,21.155342,-86.822868,25,https://www.airbnb.com/rooms/13670074,13670074,18.796992481203006
1.0,1.0,1,True,True,True,True,entire_home,2,21.11175,-86.85458,30,https://www.airbnb.com/rooms/35382793,35382793,22.55639097744361
1.0,1.0,1,True,True,False,False,private_room,3,21.1633,-86.83200000000002,21,https://www.airbnb.com/rooms/28407689,28407689,15.789473684210526
1.0,1.0,1,True,True,False,False,private_room,2,21.14129,-86.8404,26,https://www.airbnb.com/rooms/20605757,20605757,19.548872180451127
1.0,1.0,1,False,True,True,False,entire_home,4,21.17649,-86.87942,24,https://www.airbnb.com/rooms/27612053,27612053,18.045112781954888
