bathrooms,bedrooms,num_beds,can_instant_book,price,listing_id
1,1,3,TRUE,33,24099847
1,1,2,TRUE,36,16832576
1,1,1,TRUE,33,13298369
1.5,1,1,TRUE,33,14238109
1,2,2,TRUE,36,12210430
1,1,1,TRUE,34,7882638
1,1,1,TRUE,40,32898917
1,1,2,TRUE,38,7528535
1,1,1,TRUE,33,20711310
1,1,1,FALSE,36,20949329
1,1,1,FALSE,40,5285177
1,1,1,TRUE,34,5724050
1,1,1,TRUE,41,34202503
1,1,1,TRUE,33,34230214
1,1,1,FALSE,38,20831060
1,2,2,TRUE,38,23580232
1,1,1,FALSE,40,12489009
1,1,1,TRUE,40,26500492
1,2,3,TRUE,34,29060059
1,2,2,TRUE,36,24599399
1,1,1,TRUE,40,33108539
1,1,1,TRUE,34,15963588
1,1,1,FALSE,36,29588183
1,1,1,TRUE,34,17509598
2.5,3,3,TRUE,40,21876485
1,1,1,TRUE,38,30061027
2,2,3,FALSE,40,17957091
1,1,1,TRUE,34,15114430
1,1,1,TRUE,34,30676448
1,1,2,TRUE,34,20250447
1,2,2,TRUE,40,21847441
1,1,1,TRUE,34,22293167
1,2,3,TRUE,38,15957878
1,1,1,TRUE,38,3726922
1,1,2,FALSE,38,31921466
1,1,1,TRUE,33,25675125
1,2,2,TRUE,34,21355893
1,1,1,TRUE,36,32114927
1,1,1,TRUE,41,12948192
1,1,1,TRUE,34,13733212
1,1,1,FALSE,34,23121571
1,1,1,TRUE,38,23123628
1,1,1,TRUE,33,22020204
1,1,1,FALSE,40,407108
1,1,1,TRUE,40,29822192
2,1,2,TRUE,40,764051
1,1,3,TRUE,40,20780930
1,1,2,TRUE,36,26082604
2.5,2,2,FALSE,41,20408162
1,0,1,TRUE,34,33553202
2,2,6,TRUE,38,15815860
1,1,2,TRUE,38,30813616
1,1,1,FALSE,40,31127149
2,2,3,TRUE,34,34289695
1,1,2,TRUE,41,16822031
1,1,1,TRUE,41,22600988
1,2,2,TRUE,40,15453925
1,2,2,TRUE,40,18856079
1,1,1,TRUE,34,34569608
1,1,1,TRUE,33,33491382
1,1,2,TRUE,41,29162969
1,1,1,TRUE,37,32992177
1,2,3,TRUE,40,21684763
1,3,3,TRUE,36,27776441
1,1,1,TRUE,38,22634817
2,2,3,TRUE,40,21897678
1,1,1,TRUE,40,24413598
1,2,3,TRUE,33,2514320
1,1,1,TRUE,33,16142689
1,1,3,FALSE,38,13698243
1,1,1,TRUE,41,23724815
1,1,1,TRUE,38,30819604
1,1,2,TRUE,34,21007052
1,1,1,TRUE,36,23358291
1,2,3,TRUE,38,25998757
1,1,1,TRUE,33,21861406
1,1,1,TRUE,40,32899910
1,1,2,TRUE,33,21249604
1.5,3,3,TRUE,38,17545319
2.5,1,3,FALSE,34,2298640
1,2,2,TRUE,33,21739919
1,1,1,TRUE,33,31361504
1,1,1,TRUE,34,30270540
1,1,1,TRUE,33,33854884
1,2,3,TRUE,34,23208017
1,2,3,TRUE,36,27258893
1,1,1,TRUE,40,31623763
